sheet,cell,formula,cached_value
Gear,E124,GearMath!G124+GearMath!H124*GearMath!D$120,360
Gear,E125,GearMath!G125+GearMath!H125*GearMath!D$120,720
Gear,C128,GearMath!D128+(GearMath!E128*GearMath!$D$127),1000
Gear,E128,GearMath!G128+GearMath!H128*GearMath!D$127,360
Gear,C129,GearMath!D129+(GearMath!E129*GearMath!$D$127),500
Gear,E129,GearMath!G129+GearMath!H129*GearMath!D$127,0.12
Gear,C130,GearMath!D130+(GearMath!E130*GearMath!$D$127),100
Gear,E130,GearMath!G130+GearMath!H130*GearMath!D$127,0.12
Gear,C131,GearMath!D131+(GearMath!E131*GearMath!$D$127),500
Gear,E131,GearMath!G131+GearMath!H131*GearMath!D$127,0.18
Gear,C134,GearMath!D134+(GearMath!E134*GearMath!$D$133),1000
Gear,E134,GearMath!G134+GearMath!H134*GearMath!D$133,72
Gear,C135,GearMath!D135+(GearMath!E135*GearMath!$D$133),500
Gear,E135,GearMath!G135+GearMath!H135*GearMath!D$133,72
Gear,C136,GearMath!D136+(GearMath!E136*GearMath!$D$133),500
Gear,E136,GearMath!G136+GearMath!H136*GearMath!D$133,72
Gear,C137,GearMath!D137+(GearMath!E137*GearMath!$D$133),100
Gear,E137,GearMath!G137+GearMath!H137*GearMath!D$133,72
Gear,E138,GearMath!G138+GearMath!H138*GearMath!D$133,72
Gear,E139,GearMath!G139+GearMath!H139*GearMath!D$133,0.12
Gear,D142,"if(Gear!H141<2,0,Gear!H141-1)",0
Gear,C143,D143+(E143*$D$142),1000
Gear,G143,J143+K143*D$142,0.072
Gear,D149,"if(Gear!H146<2,0,Gear!H146-1)",0
Gear,C150,D150+(E150*$D$149),5000
Gear,G150,J150+K150*D$149,0.12
Gear,C156,GearMath!D156+(GearMath!E156*GearMath!$D$155),1000
Gear,E156,GearMath!G156+GearMath!H156*GearMath!D$155,0.096
Gear,C157,GearMath!D157+(GearMath!E157*GearMath!$D$155),100
Gear,C158,GearMath!D158+(GearMath!E158*GearMath!$D$155),500
Gear,C159,GearMath!D159+(GearMath!E159*GearMath!$D$155),100
Gear,D161,"if(Gear!H161<2,0,Gear!H161-1)",0
Gear,C162,D162+(E162*$D$161),3000
Gear,G162,J162+K162*D$161,0.12
Gear,D167,"if(Gear!H167<2,0,Gear!H167-1)",0
Gear,C168,D168+(E168*$D$167),2000
Gear,G168,J168+K168*D$167,360
Gear,D173,"if(Gear!H173<2,0,Gear!H173-1)",0
Gear,C174,D174+(E174*$D$173),1000
Gear,G174,J174+K174*D$173,0.12
Gear,C180,GearMath!D180+(GearMath!E180*GearMath!$D$179),2000
Gear,E180,GearMath!G180+GearMath!H180*GearMath!D$179,300
Gear,C181,GearMath!D181+(GearMath!E181*GearMath!$D$179),200
Gear,E181,GearMath!G181+GearMath!H181*GearMath!D$179,300
Gear,C182,GearMath!D182+(GearMath!E182*GearMath!$D$179),200
Gear,E182,GearMath!G182+GearMath!H182*GearMath!D$179,300
Gear,C183,GearMath!D183+(GearMath!E183*GearMath!$D$179),200
Gear,E183,GearMath!G183+GearMath!H183*GearMath!D$179,300
Gear,E184,GearMath!G184+GearMath!H184*GearMath!D$179,300
Gear,D186,"if(Gear!H186<2,0,Gear!H186-1)",0
Gear,C187,D187+(E187*$D$186),3000
Gear,G187,J187+K187*D$186,960
Gear,C193,GearMath!D193+(GearMath!E193*GearMath!$D$192),2000
Gear,C194,GearMath!D194+(GearMath!E194*GearMath!$D$192),200
Gear,E194,GearMath!G194+GearMath!H194*GearMath!D$192,1200
Gear,C195,GearMath!D195+(GearMath!E195*GearMath!$D$192),200
Gear,C196,GearMath!D196+(GearMath!E196*GearMath!$D$192),200
Gear,E196,GearMath!G196+GearMath!H196*GearMath!D$192,1200
GearMath,C2,"SUM(A12,A21,A47,A33,A27,A53,A59,A65,A71,A77,A84,A90,A96,A103,A109,A115,A121,A128,A134,A143,A150,A156,A162,A168,A174,A180,A187,A193,A41)",0
GearMath,C3,"SUM(A13,A22,A48,A42,A34,A28,A54,A60,A66,A72,A78,A85,A91,A97,A104,A110,A116,A122,A129,A135,A144,A151,A157,A163,A169,A175,A181,A188,A194)",0
GearMath,A12,"if(Gear!F$11=True,D12,0)",0
GearMath,A13,"if(Gear!F$11=True,D13,0)",0
GearMath,A14,"if(Gear!F$11=True,D14,0)",0
GearMath,A15,"if(Gear!F$11=True,D15,0)",0
GearMath,D20,"if(Gear!H20<2,0,Gear!H20-1)",0
GearMath,A21,"if(Gear!F$20=True,Gear!C21,0)",0
GearMath,A22,"if(Gear!F$20=True,Gear!C22,0)",0
GearMath,A23,"if(Gear!F$20=True,Gear!C23,0)",0
GearMath,A24,"if(Gear!F$20=True,Gear!C24,0)",0
GearMath,D26,"if(Gear!H26<2,0,Gear!H26-1)",0
GearMath,A27,"if(Gear!F$26=True,Gear!C27,0)",0
GearMath,A28,"if(Gear!F$26=True,Gear!C28,0)",0
GearMath,A29,"if(Gear!F$26=True,Gear!C29,0)",0
GearMath,A30,"if(Gear!F$26=True,Gear!C30,0)",0
GearMath,D32,"if(Gear!H32<2,0,Gear!H32-1)",0
GearMath,A33,"if(Gear!F$32=True,Gear!C33,0)",0
GearMath,A34,"if(Gear!F$32=True,Gear!C34,0)",0
GearMath,A35,"if(Gear!F$32=True,Gear!C35,0)",0
GearMath,A36,"if(Gear!F$32=True,Gear!C36,0)",0
GearMath,A41,"if(Gear!F$39=True,Gear!C40,0)",0
GearMath,A42,"if(Gear!F$39=True,Gear!C41,0)",0
GearMath,A43,"if(Gear!F$39=True,Gear!C42,0)",0
GearMath,A44,"if(Gear!F$39=True,Gear!C43,0)",0
GearMath,A47,"if(Gear!F$46=True,Gear!C47,0)",0
GearMath,A48,"if(Gear!F$46=True,Gear!C48,0)",0
GearMath,A49,"if(Gear!F$46=True,Gear!C49,0)",0
GearMath,A50,"if(Gear!F$46=True,Gear!C50,0)",0
GearMath,A53,"if(Gear!F$52=True,Gear!C53,0)",0
GearMath,A54,"if(Gear!F$52=True,Gear!C54,0)",0
GearMath,A55,"if(Gear!F$52=True,Gear!C55,0)",0
GearMath,A56,"if(Gear!F$52=True,Gear!C56,0)",0
GearMath,D58,"if(Gear!H58<2,0,Gear!H58-1)",0
GearMath,A59,"if(Gear!F$58=True,Gear!C59,0)",0
GearMath,A60,"if(Gear!F$58=True,Gear!C60,0)",0
GearMath,A61,"if(Gear!F$58=True,Gear!C61,0)",0
GearMath,A62,"if(Gear!F$58=True,Gear!C62,0)",0
GearMath,A65,"if(Gear!F$64=True,Gear!C65,0)",0
GearMath,A66,"if(Gear!F$64=True,Gear!C66,0)",0
GearMath,A67,"if(Gear!F$64=True,Gear!C67,0)",0
GearMath,A68,"if(Gear!F$64=True,Gear!C68,0)",0
GearMath,D70,"if(Gear!H70<2,0,Gear!H70-1)",0
GearMath,A71,"if(Gear!F$70=True,Gear!C71,0)",0
GearMath,A72,"if(Gear!F$70=True,Gear!C72,0)",0
GearMath,A73,"if(Gear!F$70=True,Gear!C73,0)",0
GearMath,A74,"if(Gear!F$70=True,Gear!C74,0)",0
GearMath,D76,"if(Gear!H76<2,0,Gear!H76-1)",0
GearMath,A77,"if(Gear!F$76=True,Gear!C77,0)",0
GearMath,A78,"if(Gear!F$76=True,Gear!C78,0)",0
GearMath,A79,"if(Gear!F$76=True,Gear!C79,0)",0
GearMath,A80,"if(Gear!F$76=True,Gear!C80,0)",0
GearMath,D83,"if(Gear!H83<2,0,Gear!H83-1)",0
GearMath,A84,"if(Gear!F$83=True,Gear!C84,0)",0
GearMath,A85,"if(Gear!F$83=True,Gear!C85,0)",0
GearMath,A86,"if(Gear!F$83=True,Gear!C86,0)",0
GearMath,A87,"if(Gear!F$83=True,Gear!C87,0)",0
GearMath,D89,"if(Gear!H89<2,0,Gear!H89-1)",0
GearMath,A90,"if(Gear!F$89=True,Gear!C90,0)",0
GearMath,A91,"if(Gear!F$89=True,Gear!C91,0)",0
GearMath,A92,"if(Gear!F$89=True,Gear!C92,0)",0
GearMath,A93,"if(Gear!F$89=True,Gear!C93,0)",0
GearMath,D95,"if(Gear!H95<2,0,Gear!H95-1)",0
GearMath,A96,"if(Gear!F$95=True,Gear!C96,0)",0
GearMath,A97,"if(Gear!F$95=True,Gear!C97,0)",0
GearMath,A98,"if(Gear!F$95=True,Gear!C98,0)",0
GearMath,A99,"if(Gear!F$95=True,Gear!C99,0)",0
GearMath,D102,"if(Gear!H102<2,0,Gear!H102-1)",0
GearMath,A103,"if(Gear!F$102=True,Gear!C103,0)",0
GearMath,A104,"if(Gear!F$102=True,Gear!C104,0)",0
GearMath,A105,"if(Gear!F$102=True,Gear!C105,0)",0
GearMath,A106,"if(Gear!F$102=True,Gear!C106,0)",0
GearMath,D108,"if(Gear!H108<2,0,Gear!H108-1)",0
GearMath,A109,"if(Gear!F$108=True,Gear!C109,0)",0
GearMath,A110,"if(Gear!F$108=True,Gear!C110,0)",0
GearMath,A111,"if(Gear!F$108=True,Gear!C111,0)",0
GearMath,A112,"if(Gear!F$108=True,Gear!C112,0)",0
GearMath,D114,"if(Gear!H114<2,0,Gear!H114-1)",0
GearMath,A115,"if(Gear!F$114=True,Gear!C115,0)",0
GearMath,A116,"if(Gear!F$114=True,Gear!C116,0)",0
GearMath,A117,"if(Gear!F$114=True,Gear!C117,0)",0
GearMath,A118,"if(Gear!F$114=True,Gear!C118,0)",0
GearMath,D120,"if(Gear!H120<2,0,Gear!H120-1)",0
GearMath,A121,"if(Gear!F$120=True,Gear!C121,0)",0
GearMath,A122,"if(Gear!F$120=True,Gear!C122,0)",0
GearMath,A123,"if(Gear!F$120=True,Gear!C123,0)",0
GearMath,A124,"if(Gear!F$120=True,Gear!C124,0)",0
GearMath,D127,"if(Gear!H127<2,0,Gear!H127-1)",0
GearMath,A128,"if(Gear!F$127=True,Gear!C128,0)",0
GearMath,A129,"if(Gear!F$127=True,Gear!C129,0)",0
GearMath,A130,"if(Gear!F$127=True,Gear!C130,0)",0
GearMath,A131,"if(Gear!F$127=True,Gear!C131,0)",0
GearMath,D133,"if(Gear!H133<2,0,Gear!H133-1)",0
GearMath,A134,"if(Gear!F$133=True,Gear!C134,0)",0
GearMath,A135,"if(Gear!F$133=True,Gear!C135,0)",0
GearMath,A136,"if(Gear!F$133=True,Gear!C136,0)",0
GearMath,A137,"if(Gear!F$133=True,Gear!C137,0)",0
GearMath,A143,"if(Gear!F$142=True,Gear!C143,0)",0
GearMath,A144,"if(Gear!F$142=True,Gear!C144,0)",0
GearMath,A145,"if(Gear!F$142=True,Gear!C145,0)",0
GearMath,A146,"if(Gear!F$142=True,Gear!C146,0)",0
GearMath,A150,"if(Gear!F$149=True,Gear!C150,0)",0
GearMath,A151,"if(Gear!F$149=True,Gear!C151,0)",0
GearMath,A152,"if(Gear!F$149=True,Gear!C152,0)",0
GearMath,A153,"if(Gear!F$149=True,Gear!C153,0)",0
GearMath,D155,"if(Gear!H155<2,0,Gear!H155-1)",0
GearMath,A156,"if(Gear!F$155=True,Gear!C156,0)",0
GearMath,A157,"if(Gear!F$155=True,Gear!C157,0)",0
GearMath,A158,"if(Gear!F$155=True,Gear!C158,0)",0
GearMath,A159,"if(Gear!F$155=True,Gear!C159,0)",0
GearMath,A162,"if(Gear!F$161=True,Gear!C162,0)",0
GearMath,A163,"if(Gear!F$161=True,Gear!C163,0)",0
GearMath,A164,"if(Gear!F$161=True,Gear!C164,0)",0
GearMath,A165,"if(Gear!F$161=True,Gear!C165,0)",0
GearMath,A168,"if(Gear!F$167=True,Gear!C168,0)",0
GearMath,A169,"if(Gear!F$167=True,Gear!C169,0)",0
GearMath,A170,"if(Gear!F$167=True,Gear!C170,0)",0
GearMath,A171,"if(Gear!F$167=True,Gear!C171,0)",0
GearMath,A174,"if(Gear!F$173=True,Gear!C174,0)",0
GearMath,A175,"if(Gear!F$173=True,Gear!C175,0)",0
GearMath,A176,"if(Gear!F$173=True,Gear!C176,0)",0
GearMath,A177,"if(Gear!F$173=True,Gear!C177,0)",0
GearMath,D179,"if(Gear!H179<2,0,Gear!H179-1)",0
GearMath,A180,"if(Gear!F$179=True,Gear!C180,0)",0
GearMath,A181,"if(Gear!F$179=True,Gear!C181,0)",0
GearMath,A182,"if(Gear!F$179=True,Gear!C182,0)",0
GearMath,A183,"if(Gear!F$179=True,Gear!C183,0)",0
GearMath,A187,"if(Gear!F$187=True,Gear!C187,0)",0
GearMath,A188,"if(Gear!F$187=True,Gear!C188,0)",0
GearMath,A189,"if(Gear!F$187=True,Gear!C189,0)",0
GearMath,A190,"if(Gear!F$187=True,Gear!C190,0)",0
GearMath,D192,"if(Gear!H192<2,0,Gear!H192-1)",0
GearMath,A193,"if(Gear!F$192=True,Gear!C193,0)",0
GearMath,A194,"if(Gear!F$192=True,Gear!C194,0)",0
GearMath,A195,"if(Gear!F$192=True,Gear!C195,0)",0
GearMath,A196,"if(Gear!F$192=True,Gear!C196,0)",0
Combat,E8,SUM(E2:E6),17815
Combat,E11,log(B3)/log(5),8.047099444
Combat,E12,log(B5)/log(5),7.750084
Combat,A21,E15,1
Combat,C21,(1+B10)*(CombatMath!H8),1240277.778
Combat,D21,CombatMath!J8,2288312.5
Combat,E21,(1+B10)*CombatMath!B21,400961.99
Combat,F21,SUM(C21:E21),3929552.268
Combat,A22,SUM(F21:F22),5982475.49
Combat,C22,"if(E16=TRUE,(1+B10)*CombatMath!H9,0)",586223.19
Combat,D22,"if(E16=TRUE,CombatMath!J9,0)",1081581.786
Combat,E22,"if(E16=TRUE,(1+B10)*CombatMath!B22,0)",385118.2462
Copy of Combat,E8,SUM(E2:E6),21742
Copy of Combat,E11,log(B3)/log(5),8.14866014
Copy of Combat,E12,log(B5)/log(5),7.82066374
Copy of Combat,A21,E15,1
Copy of Combat,C21,(1+B10)*(CombatMath!H8),98421749.6
Copy of Combat,D21,CombatMath!J8,2288312.5
Copy of Combat,E21,(1+B10)*CombatMath!B21,31818179.19
Copy of Combat,F21,SUM(C21:E21),132528241.3
Copy of Combat,A22,SUM(F21:F22),210690236.3
Copy of Combat,C22,"if(E16=TRUE,(1+B10)*CombatMath!H9,0)",46519508
Copy of Combat,D22,"if(E16=TRUE,CombatMath!J9,0)",1081581.786
Copy of Combat,E22,"if(E16=TRUE,(1+B10)*CombatMath!B22,0)",30560905.2
CombatMath,B2,Combat!I3+Combat!B2+J14,3046299
CombatMath,B3,Combat!I4+Combat!B3+J15,587314
CombatMath,E3,Combat!E2,4773
CombatMath,H3,B3-B20,454814
CombatMath,I3,$H$8*((0.5+$B$8)*(1-$B$13))*(1+B15),2288312.5
CombatMath,B4,Combat!I5+Combat!B4+J16,338722
CombatMath,E4,Combat!E3,4027
CombatMath,H4,B3*0.05,29365.7
CombatMath,I4,$H$8*((0.5+$B$8)*(1-$B$13)*(1+B15)),2288312.5
CombatMath,B5,Combat!I6+Combat!B5+J17,347470
CombatMath,E5,Combat!E4,4893
CombatMath,H5,B5-B20,214970
CombatMath,I5,$H$9*((0.5+$B$8)*(1-$B$13))*(1+B15),1081581.786
CombatMath,B6,Combat!B11,0.47
CombatMath,E6,Combat!E5,3159
CombatMath,H6,B5*0.05,17373.5
CombatMath,I6,$H$9*((0.5+$B$8)*(1-$B$13))*(1+B15),1081581.786
CombatMath,B7,Combat!B7,1.063
CombatMath,E7,Combat!E6,963
CombatMath,B8,Combat!B8,1.345
CombatMath,H8,"IF(H3>H4,H3,H4)",454814
CombatMath,I8,"IF(H3>H4,I3,I4)",2288312.5
CombatMath,J8,"if(Combat!E17=TRUE,I8,0)",2288312.5
CombatMath,E9,SUM(E3:E7),17815
CombatMath,H9,"IF(H5>H6,H5,H6)",214970
CombatMath,I9,"IF(H5>H6,I5,I6)",1081581.786
CombatMath,J9,"if(Combat!E18=TRUE,I9,0)",1081581.786
CombatMath,B11,"if(Combat!B14=0,280000000,Combat!B14)",280000000
CombatMath,E11,log(B3)/log(5),8.253387581
CombatMath,B12,"if(Combat!B15=0,250000,Combat!B15)",250000
CombatMath,E12,log(B5)/log(5),7.927260512
CombatMath,B13,"if(Combat!B16=0,0,Combat!B16)",0
CombatMath,I14,Combat!$E$15,1
CombatMath,J14,I14*Combat!I10,1156
CombatMath,B15,Combat!B10,1.727
CombatMath,I15,Combat!$E$15,1
CombatMath,J15,I15*Combat!I11,78
CombatMath,B16,Combat!I9,0.626
CombatMath,I16,Combat!$E$15,1
CombatMath,J16,I16*Combat!I12,0
CombatMath,B17,SUM(B15:B16),2.353
CombatMath,I17,Combat!$E$15,1
CombatMath,J17,I17*Combat!I13,108
CombatMath,H19,"if(Combat!E15=1,TRUE,FALSE)",True
CombatMath,B20,$B$12*(1-$B$6),132500
CombatMath,H20,"IF($H$19=TRUE,((1+($B$15+$B$16))*H8),0)",1524991.342
CombatMath,B21,$E$9*$E$11,147034.0998
CombatMath,B22,$E$9*$E$12,141224.146
Cost,A5,CostMath!A24,Diff
Cost,B5,CostMath!B24,2890
Cost,C5,CostMath!C24,4500
Cost,D5,CostMath!D24,7390
Cost,F6,CostMath!H24,3600
Cost,B8,CostMath!E24,5040000
Cost,C8,CostMath!F24,1500000
Cost,D8,CostMath!G24,6540000
Cost,B11,CostMath!I24,1
Cost,C11,CostMath!J24,9
Cost,B14,CostMath!K24,9
Cost,C14,CostMath!L24,9
Cost,B17,CostMath!N24,9
Cost,C17,CostMath!M24,9
Cost,B19,CostMath!O24,18
Cost,C19,CostMath!P24,18
Cost,B22,CostMath!Q24,18
Cost,C22,CostMath!R24,18
Cost,B24,CostMath!S24,36
Cost,C24,CostMath!T24,36
Cost,B27,CostMath!U24,36
Cost,C27,CostMath!V24,36
Cost,B29,CostMath!W24,-108
Cost,C29,CostMath!X24,-108
Cost,B32,CostMath!Y24,-108
Cost,C32,CostMath!AA24,-108
Cost,B34,CostMath!Z24,-108
Cost,C34,CostMath!AB24,-108
CostMath,B1,A1+1,2
CostMath,B3,L96,60
CostMath,I3,Q51,1
CostMath,J3,T96,1
CostMath,M3,K3,1
CostMath,O3,M3*2,2
CostMath,Q3,O3,2
CostMath,S3,Q3*2,4
CostMath,U3,S3,4
CostMath,W3,U3*2,8
CostMath,Y3,W3,8
CostMath,B4,L97,220
CostMath,M4,K4,3
CostMath,O4,M4*2,6
CostMath,Q4,O4,6
CostMath,S4,Q4*2,12
CostMath,U4,S4,12
CostMath,W4,U4*2,24
CostMath,Y4,W4,24
CostMath,B5,L98,530
CostMath,M5,K5,6
CostMath,O5,M5*2,12
CostMath,Q5,O5,12
CostMath,S5,Q5*2,24
CostMath,U5,S5,24
CostMath,W5,U5*2,48
CostMath,Y5,W5,48
CostMath,B6,L99,1050
CostMath,M6,K6,10
CostMath,O6,M6*2,20
CostMath,Q6,O6,20
CostMath,S6,Q6*2,40
CostMath,U6,S6,40
CostMath,W6,U6*2,80
CostMath,Y6,W6,80
CostMath,B7,L100,1850
CostMath,M7,K7,15
CostMath,O7,M7*2,30
CostMath,Q7,O7,30
CostMath,S7,Q7*2,60
CostMath,U7,S7,60
CostMath,W7,U7*2,120
CostMath,Y7,W7,120
CostMath,B8,L101,3010
CostMath,M8,K8,21
CostMath,O8,M8*2,42
CostMath,Q8,O8,42
CostMath,S8,Q8*2,84
CostMath,U8,S8,84
CostMath,W8,U8*2,168
CostMath,Y8,W8,168
CostMath,B9,L102,4620
CostMath,M9,K9,28
CostMath,O9,M9*2,56
CostMath,Q9,O9,56
CostMath,S9,Q9*2,112
CostMath,U9,S9,112
CostMath,W9,U9*2,224
CostMath,Y9,W9,224
CostMath,B10,L103,6790
CostMath,M10,K10,36
CostMath,O10,M10*2,72
CostMath,Q10,O10,72
CostMath,S10,Q10*2,144
CostMath,U10,S10,144
CostMath,W10,U10*2,288
CostMath,Y10,W10,288
CostMath,B11,L104,9680
CostMath,M11,K11,45
CostMath,O11,M11*2,90
CostMath,Q11,O11,90
CostMath,S11,Q11*2,180
CostMath,U11,S11,180
CostMath,B22,"VLOOKUP($D$20,$A$2:$AB$11,2,true)",6790
CostMath,C22,"VLOOKUP($D$20,$A$2:$AB$11,C1,true)",14150
CostMath,B23,"VLOOKUP($F$20,$A$2:$AB$11,2,true)",9680
CostMath,C23,"VLOOKUP($F$20,$A$2:$AB$11,C1,true)",18650
CostMath,B24,B23-B22,2890
CostMath,N37,J54,60
CostMath,O37,S56,500
CostMath,P37,SUM(N37:O37),560
CostMath,Q37,L54,120000
CostMath,R37,T56,160000
CostMath,S37,SUM(Q37:R37),280000
CostMath,T37,K54,0
CostMath,N48,SUM(P37:P45),74030
CostMath,O48,SUM(S37:S45),39180000
CostMath,N51,"SUM(N48,F122)",74552
CostMath,P51,SUM(T37:T45),12000
CostMath,S51,"MULTIPLY(D119,9)",9
CostMath,J54,SUM(C36:C37),60
CostMath,K54,"SUM(E36,E37)",0
CostMath,K55,"SUM(E37,E38)",100
CostMath,J56,"SUM(J55,C39)",310
CostMath,K56,"SUM(K55,E39)",300
CostMath,S56,"sum(C49,C50)",500
CostMath,T56,"SUM(E49,E50)",160000
CostMath,K57,"SUM(K56,E40)",600
CostMath,S57,"SUM(S56,C51)",1250
