id,name,file_no,rarity_color,hp,atk,def,rush,effect_raw,origin_raw,confidence,spreadsheet_link_count
blade_muramasa,Blade Muramasa,206,,200,60,20,60,"In [[Yamato]], DMG +4%<br>In [[Yamato]], INTEL gained +4%",Exchange {{retext|Koban|purple,0.85,0
royal_banner,Royal Banner,207,,600,20,60,20,"In [[Yamato]], DMG +4%<br>In [[Yamato]], INTEL gained +4%",{{retext|Crimson Haori Jacket|blue,0.85,0
silver_lion,Silver Lion,303,,400,40,40,40,"In [[Cathay]], DMG +4%<br>In [[Cathay]], INTEL gained +4%",Exchange {{retext|Mahjong|purple,0.85,0
7_star_blade,7-Star Blade,304,,200,60,20,60,"In [[Cathay]], DMG +4%<br>In [[Cathay]], INTEL gained +4%",{{retext|Ancient Blade|blue,0.85,0
mechanical_exoskeleton,Mechanical Exoskeleton,403,purple,400,40,40,40,"In [[Murika]], Snail ATK +48<br>In [[Murika]], Snail DEF +48",Reward of [[Murika]] INTEL,0.85,0
powered_glove,Powered Glove,404,purple,200,60,20,60,"In [[Murika]], Snail DEF +48",Reward of [[Murika]] INTEL,0.85,0
holographic_tactical_glasses,Holographic Tactical Glasses,405,purple,600,20,60,20,"In [[Murika]], Snail ATK +48",Reward of [[Murika]] INTEL,0.85,0
long_range_scope,Long Range Scope,406,,600,20,60,20,"In [[Murika]], DMG +4%<br>In [[Murika]], INTEL gained +4%",Exchange {{retext|Bullet|purple,0.85,0
m4_carbine,M4 Carbine,407,,200,60,20,60,"In [[Murika]], DMG +4%<br>In [[Murika]], INTEL gained +4%",{{retext|Springfield Rifle|blue,0.85,0
britland_crown,Britland Crown,503,,400,40,40,40,"In [[Britland]], DMG +4%<br>In [[Britland]], INTEL gained +4%<br>In [[Britland]], fleet cannon DMG +4%",Exchange {{retext|Anchor|purple,0.85,0
shotgun_umbrella,Shotgun Umbrella,504,,200,60,20,60,"In [[Britland]], DMG +4%<br>In [[Britland]], INTEL gained +4%<br>In [[Britland]], fleet cannon DMG +4%",{{retext|Sword Cane|blue,0.85,0
priestly_robe,Priestly Robe,603,,400,40,40,40,"In [[Kemet]], DMG +4%<br>In [[Kemet]], INTEL gained +4%",Exchange {{retext|Ankh|purple,0.85,0
golden_bronze_dagger,Golden Bronze Dagger,604,purple,600,20,60,20,"In [[Kemet]], Snail ATK +60<br>Snail DEF +60",Reward of [[Kemet]] INTEL,0.85,0
pharaoh_s_scepter,Pharaoh's Scepter,605,purple,600,20,60,20,"In [[Kemet]], Snail DEF +60",Reward of [[Kemet]] INTEL,0.85,0
arabic_dagger,Arabic Dagger,606,purple,600,20,60,20,"In [[Kemet]], Snail ATK +60",Reward of [[Kemet]] INTEL,0.85,0
guardian_s_longsword,Guardian's Longsword,607,,200,60,20,60,"In [[Kemet]], DMG +4%<br>In [[Kemet]], INTEL gained +4%",{{retext|Ax|blue,0.85,0
caeser_s_laurel,Caeser's Laurel,703,purple,600,20,60,20,"In [[Hellas]], Snail ATK +60<br>In [[Hellas]], Snail DEF +60",Reward of [[Hellas]] INTEL,0.85,0
justinian_s_robe,Justinian's Robe,704,purple,600,20,60,20,"In [[Hellas]], Snail DEF +60",Reward of [[Hellas]] INTEL,0.85,0
heraclius_silver_staff,Heraclius' Silver Staff,705,purple,600,20,60,20,"In [[Hellas]], Snail ATK +60",Reward of [[Hellas]] INTEL,0.85,0
achilles_shield,Achilles' Shield,706,,600,20,60,20,"In [[Hellas]], INTEL gained +4%<br>In [[Hellas]], DMG +4%<br>Every Costume Stat +4%",Exchange {{retext|Feather|purple,0.85,0
hector_s_spear,Hector's Spear,707,,200,60,20,60,"In [[Hellas]], INTEL gained +4%<br>In [[Hellas]], DMG +4%<br>Every Costume Stat +4%",{{retext|Macedonian Spear|blue,0.85,0
antelope_horn_shield,Antelope Horn Shield,803,,400,40,40,40,"In [[Bharata]], DMG +4%<br>In [[Bharata]], INTEL gained +4%",Exchange {{retext|Rosary|purple,0.85,0
mughal_scimitar,Mughal Scimitar,804,,200,60,20,60,"In [[Bharata]], DMG +4%<br>In [[Bharata]], INTEL gained +4%",{{retext|Kukri|blue,0.85,0
spacetime_echo,Spacetime Echo,1007,"Rift]], INTEL gained +4%",200,60,20,60,In the [[Time Rift,"Rift]], DMG +4%<br>In the [[Time Rift",0.85,0
time_flute,Time Flute,1008,"Rift]], Snail RUSH +60",200,20,20,20,In the [[Time Rift,"Rift]], Snail ATK +60<br>In the [[Time Rift",0.85,0
feline_shield,Feline Shield,723,purple,400,40,40,40,"In [[Parsia]], ATK +60<br>In [[Parsia]], DEF +60",Reward of [[Parsia]] INTEL,0.85,0
sun_mirror_armor,Sun Mirror Armor,724,purple,600,20,60,20,"In [[Parsia]], DEF +60",Reward of [[Parsia]] INTEL,0.85,0
parsian_composite_bow,Parsian Composite Bow,725,purple,200,60,20,60,"In [[Parsia]], ATK +60",Reward of [[Parsia]] INTEL,0.85,0
assassin_s_gauntlet,Assassin's Gauntlet,726,,200,60,20,60,"In [[Parsia]], DMG +4%<br>In [[Parsia]], INTEL +4%",Exchange {{retext|Parsian Carpet|purple,0.85,0
royal_wootz_blade,Royal Wootz Blade,727,,600,20,60,20,"In [[Parsia]], DMG +4%<br>In [[Parsia]], INTEL +4%",{{RewardIconWithText|Shamshir|blue,0.85,0
teslla,Teslla,901,,600,20,20,60,"In any Realm, 2x Time Chest Drops +4%",{{retext|Lottery Bead Purple|purple,0.85,0
virgo_tech,Virgo Tech,101,Koryeon Commissioner]],800,80,80,80,"In [[Koryeo]], Snail ATK +96<br>In [[Koryeo]], Snail RUSH +96",Reward for defeating [[Mailbox#Koryeon Commissioner,0.85,0
jung_geun_s_gun,Jung-geun's Gun,102,,400,120,40,120,"In [[Koryeo]], DMG +8%<br>In [[Koryeo]], INTEL gained +8%",{{retext|Gas Mask|purple,0.85,0
genji_armor,Genji Armor,201,,800,80,80,80,"In [[Yamato]], Snail ATK +96<br>In [[Yamato]], Snail DEF +96",{{retext|Genji Gloves|purple,0.85,0
blade_murasame,Blade Murasame,202,,400,120,40,120,"In [[Yamato]], DMG +8%<br>In [[Yamato]], INTEL gained +8%",{{retext|Blade Muramasa|purple,0.85,0
conqueror_spear,Conqueror Spear,301,Loyal Retainers]],800,80,80,80,"In [[Cathay]], Snail ATK +96<br>In [[Cathay]], Snail RUSH +96",Reward for defeating [[Mailbox#Loyal Retainers,0.85,0
couple_swords,Couple Swords,302,,400,120,40,120,"In [[Cathay]], DMG +8%<br>In [[Cathay]], INTEL gained +8%",{{retext|7-Star-Blade|purple,0.85,0
indv_power_armor,Indv. Power Armor,401,,800,80,80,80,"In [[Murika]], Snail ATK +96<br>In [[Murika]], Snail DEF +96",{{retext|Holograhic Tactical Glasses|purple,0.85,0
indv_high_explosive_rifle,Indv. High-explosive Rifle,402,,400,120,40,120,"In [[Murika]], DMG +8%<br>In [[Murika]], INTEL gained +8%",{{retext|M4 Carbine|purple,0.85,0
windsor_s_cape,Windsor's cape,501,,800,80,80,80,"In [[Britland]], Snail ATK +96<br>In [[Britland]], Snail RUSH +96",Exchange {{retext|Anchor|orange,0.85,0
lion_s_crown,Lion's Crown,502,,400,120,40,120,"In [[Britland]], DMG +8%<br>In [[Britland]], INTEL gained +8%<br>In [[Britland]], fleet cannon DMG +8%",{{retext|Shotgun Umbrella|purple,0.85,0
horse_helmet,Horse Helmet,601,,800,80,80,80,"In [[Kemet]], Snail ATK +120<br>Snail RUSH +120",{{retext|Arabic Dagger|purple,0.85,0
damascus_knife,Damascus Knife,602,,400,120,40,120,"In [[Kemet]], DMG +8%<br>In [[Kemet]], INTEL gained +8%",{{retext|Guardian's Longsword|purple,0.85,0
eternal_empire_staff,Eternal Empire Staff,701,,800,80,80,80,"In [[Hellas]], Snail ATK +120<br>Snail DEF +120",{{retext|Caeser's Laurel|purple,0.85,0
stardust_arrow,Stardust Arrow,702,,400,120,40,120,"In [[Hellas]], INTEL gained +8%<br>In [[Hellas]], DMG +8%<br>Every Costume Stat +8%",{{retext|Hector's Spear|purple,0.85,0
indra_s_crown,Indra's Crown,701,,800,80,80,80,"In [[Bharata]], Snail ATK +120<br>Snail DEF +120",Exchange {{retext|Rosary|orange,0.85,0
ashoka_s_sword,Ashoka's Sword,802,,400,120,40,120,"In [[Bharata]], INTEL gained +8%<br>In [[Bharata]], DMG +8%",{{retext|Mughal Scimitar|purple,0.85,0
eternal_return,Eternal Return,1009,"Rift]], INTEL gained +8%",400,120,40,120,In the [[Time Rift,"Rift]], DMG +8%<br>In the [[Time Rift",0.85,0
millennium_ring,Millennium Ring,1010,"Rift]], Snail RUSH +120",800,80,80,80,In the [[Time Rift,"Rift]], Snail ATK +120<br>In the [[Time Rift",0.85,0
arrow_of_arash,Arrow of Arash,721,,800,80,80,80,"In [[Parsia]], ATK +120<br>In [[Parsia]], DEF +120",{{RewardIconWithText|Parsian Composite Bow|purple,0.85,0
jade_saber,Jade Saber,722,,400,120,40,120,"In [[Parsia]], DMG +8%<br>In [[Parsia]], INTEL +8%",{{RewardIconWithText|Royal Wootz Blade|purple,0.85,0
curator_s_helmet,Curator's Helmet,905,Museum Shop]],1200,40,120,40,"Enemies in explorations drop +16 W-tads<br>(Only when you are really lucky!)<br>Tadpoles Gained: 100,000",50k Museum Medals in [[Museum,0.85,0
gear_ring,Gear Ring,911,orange,400,40,40,200,"When you enter a new area, gain +80 INTEL",Divine Order Chest (0.2% chance),0.85,0
warmonger_s_gun,Warmonger's Gun,100,,600,180,60,180,"In [[Koryeo]], Snail ATK +120<br>In [[Koryeo]], Snail RUSH +120<br>In [[Koryeo]], Snail DMG +12%<br>In [[Koryeo]], INTEL gained +12%",{{retext|Virgo Tech|orange,0.85,0
sword_futsuno,Sword Futsuno,200,,600,180,60,180,"In [[Yamato]], Snail ATK +120<br>In [[Yamato]], Snail RUSH +120<br>In [[Yamato]], DMG +12%<br>In [[Yamato]], INTEL gained +12%",{{retext|Blade Murasame|orange,0.85,0
sky_piercer,Sky Piercer,300,,600,180,60,180,"In [[Cathay]], Snail ATK +120<br>In [[Cathay]], Snail RUSH +120<br>In [[Cathay]], DMG +12%<br>In [[Cathay]], INTEL gained +12%",{{retext|Conqueror Spear|orange,0.85,0
bullet_storm,Bullet Storm,400,,600,180,60,180,"In [[Murika]], Snail ATK +120<br>In [[Murika]], Snail RUSH +120<br>In [[Murika]], DMG +12%<br>In [[Murika]], INTEL gained +12%",{{retext|Indv. Power Armor|orange,0.85,0
crown_of_eternal_daylight,Crown of Eternal Daylight,500,,600,180,60,180,"In [[Britland]], Snail ATK +150<br>In [[Britland]], Snail RUSH +150<br>In [[Britland]], DMG +12%<br>In [[Britland]], INTEL gained +12%<br>In [[Britland]], fleet cannon DMG +12%",{{retext|Lion's Crown|orange,0.85,0
lion_king_s_sword,Lion King's Sword,600,,600,180,60,180,"In [[Kemet]], Snail ATK +150<br>In [[Kemet]], Snail RUSH +150<br>In [[Kemet]], Snail DMG +12%<br>In [[Kemet]], INTEL gained +12%",{{retext|Damascus Knife|orange,0.85,0
athena_s_spear,Athena's Spear,700,,600,180,60,180,"In [[Hellas]], Snail ATK +120<br>In [[Hellas]], Snail DEF +120<br>In [[Hellas]], DMG +12%<br>In [[Hellas]], INTEL gained +12%<br>Every Costume Stat +12%",{{retext|Stardust Arrow|orange,0.85,0
rama_greataxe,Rama Greataxe,600,,600,180,60,180,"In [[Bharata]], Snail ATK +150<br>In [[Bharata]], Snail RUSH +150<br>In [[Bharata]], Snail DMG +12%<br>In [[Bharata]], INTEL gained +12%",{{retext|Ashoka's Sword|orange,0.85,0
spacetime_exile,Spacetime Exile,1011,"Rift]], Snail RUSH +150<br>In the [[Time Rift",600,180,60,180,In the [[Time Rift,"Rift]], Snail ATK +150<br>In the [[Time Rift",0.85,0
mithraic_bow_and_spear,Mithraic Bow & Spear,720,,600,180,60,180,"In [[Parsia]], ATK +150<br>In [[Parsia]], RUSH +150<br>In [[Parsia]], DMG +12%<br>in [[Parsia]], INTEL +12%",{{retext|Jade Spear|orange,0.85,0
the_great_scientist,The Great Scientist,902,,1800,60,60,180,"When exploring, 2x Time Chests Drops +12%",{{retext|Teslla|orange,0.85,0
overlord_s_hook,Overlord's Hook,904,,1800,60,180,60,"Enemies in exploration drop +120 B-tads<br>Tadpoles Gained: 3,200,000",{{retext|Pirate|orange,0.85,0
the_great_collector,The Great Collector,906,,1800,60,180,60,"Enemies in exploration drop +24 W-tads<br>(Only when you are really lucky!)<br>Tadpoles Gained: 110,000",{{retext|Curator's Helm|orange,0.85,0
tremendous_support,Tremendous Support,908,,600,60,60,300,Travel SPD +9.6%,{{retext|Iron Track|orange,0.85,0
deepsea_helmet,Deepsea Helmet,910,,1800,60,60,180,"In any Realm, 2x Demon God Cell Drops +12%",{{retext|Diver|orange,0.85,0
the_great_engineer,The Great Engineer,912,,600,60,60,300,Upon traveling through an area: Gain 120 Intel,{{retext|Gear Ring|orange,0.85,0
time_wanderer,Time Wanderer,1012,,1000,200,200,200,"In explorations, Snail HP +2000<br>In explorations, Snail ATK +200<br>In explorations, Snail DEF +200<br>In explorations, Snail RUSH +200<br>In explorations, INTEL gained +20%<br>In explorations, DMG +20%",{{RewardIconWithText|Spacetime Exile|red,0.85,0
lotus_platform,Lotus Platform,306,Ratman]],150,5,5,15,"In Angel Form, Regen 160 HP each round",Defeat [[Mailbox#Ratman,0.85,0
leather_chest_armor,Leather Chest Armor,402,green,50,15,5,15,In Mutant: Crit DMG +2%,Divine Chaos (1.6%),0.85,0
undead_staff,Undead Staff,103,blue,300,30,10,10,In Zombie Form: Zombie Cells +2%<br>Evolution Chests +2%,Tier 3 Zombie Research,0.85,0
the_buried,The Buried,102,blue,300,30,10,10,In Zombie: Ingore DEF +2%,Divine Chaos(0.8%),0.85,0
demon_scythe,Demon Scythe,203,blue,100,30,30,10,In Demon Form: Demon Cells +2%<br>Soul Chests +2%,Tier 3 Demon Research,0.85,0
lotus_platform_iii,Lotus Platform III,305,,300,10,10,30,"In Angel Form, Regen 320 HP each round",{{retext|Lotus Platform|green,0.85,0
prayer_staff,Prayer Staff,301,blue,300,10,10,30,In Angel Form: Angel Cells +2%<br>Fungus Chests +2%,Tier 3 Angel Research,0.85,0
mind_control_dagger,Mind Control Dagger,403,blue,100,30,10,30,In Mutant form: Mutant Cells +2%<br>Time Chests +2% in exploration,Tier 3 Mutant Research,0.85,0
gauss_c14,Gauss C14,503,blue,100,10,30,30,In Mecha Form: Mecha Cells +2%<br>Tool Chests +2% in explorations,Tier 3 Mecha Research,0.85,0
mark_ii,Mark II,502,blue,100,10,30,30,In Mecha: DMG Reduction +2%,Lottery (0.71%),0.85,0
dragon_fang_dagger,Dragon Fang Dagger,603,blue,100,30,10,30,In Dragon Form: Gain +2% Cells<br>Gain 2% Dragon Chests in explorations,Tier 3 Dragon Research Reward,0.85,0
lotus_platform_vi,Lotus Platform VI,304,,600,20,20,60,"In Angel Form, Regen 640 HP each round",{{retext|Lotus Platform III|blue,0.85,0
crimson_dragon_claw,Crimson Dragon Claw,602,15th Dragon Descent]].,200,60,20,60,In Dragon: Fire DMG +240,Reward upon [[Altar#Divine_Dragon,0.85,0
azazel_s_curse,Azazel's Curse,202,orange,400,120,120,40,In Demon: Crit Rate +8%,Lottery (1.56%),0.85,0
lotus_platform_ix,Lotus Platform IX,303,,1200,40,40,120,"In Angel Form, Regen 1,280 HP each round",{{retext|Lotus Platform VI|purple,0.85,0
broken_dragon_horn,Broken Dragon Horn,603,Demonic Dragon]],400,120,40,120,"In Dragon Form, Ignore Fire RES +120<br>In Dragon Form, Ignore Earth RES +120",Defeat [[Altar Fights#Demon Lords,0.85,0
broken_caladbolg,Broken Caladbolg,605,Demonic Dad of Excalibra]],400,120,40,120,"In Dragon Form, Ignore Water RES +120<br>In Dragon Form, Ignore Wind RES +120",Defeat [[Altar Fights#Demon Lords,0.85,0
fire_of_rage,Fire of Rage,603,Ba'al]],400,120,40,120,"In Dragon Form, Ignore DEF +8%",Defeat [[Altar Fights#Demon Lords,0.85,0
soul_walking,Soul Walking,101,,1800,180,60,60,"In Zombie Form, Ignore DEF +12%",{{retext|The Buried|orange,0.85,0
serket_staff,Serket Staff,100,,1800,180,60,60,In Zombie Form: Zombie Cells +12%<br>Evolution Chests +12% in exploration,{{retext|Undead Staff|orange,0.85,0
azazel_s_pact,Azazel's Pact,201,,600,180,180,60,In Demon: Crit Rate +12%,{{retext|Azazel's Curse|orange,0.85,0
soul_reaper,Soul Reaper,200,,600,180,180,60,In Demon: Demon Cells +12%<br>Soul Chests +12% in exploration,{{retext|Demon Scythe|orange,0.85,0
lotus_platform_xii,Lotus Platform XII,302,,1800,60,60,180,"In Angel Form, Regen 1,920 HP each round",{{retext|Lotus Platform IX|orange,0.85,0
seraph_s_light,Seraph's Light,300,,1800,60,60,180,In Angel Form: Angel Cells +12%<br>Fungus Chests +12% in exploration,{{retext|Prayer Staff|orange,0.85,0
centaur_armor,Centaur Armor,401,,600,180,60,180,"In Mutant Form, Crit DMG +24%",{{retext|Leather Chest Armor|orange,0.85,0
subspace_blade,Subspace Blade,400,,600,180,60,180,In Mutant form: Mutant Cells +12%<br>Time Chests +12% in exploration,{{retext|Mind Control Dagger|orange,0.85,0
