id,name,tierColor,hp,atk,def,rush,effect,origin,iconSrc,iconMissing
broken_fiend_mirror,Broken Fiend Mirror,blue,100,50,10,10,Lifesteal Effect +20%,Defeat [[Mailbox#Ratman,/kb/gear/icons/Broken_Fiend_Mirror.png,False
broken_godsmiter,Broken Godsmiter,blue,100,50,10,10,Crit DMG +4%,Defeat [[Mailbox#Ratman,/kb/gear/icons/Broken_Godsmiter.png,False
broken_palm_leaf_fan,Broken Palm-Leaf Fan,blue,100,50,10,10,Lifesteal Effect +20%,{{retext|Shattered Palm-Leaf Fan|green,/kb/gear/icons/Broken_Palm-Leaf_Fan.png,False
broken_sagekiller,Broken Sagekiller,blue,50,25,5,5,Crit DMG +2%,Fully defeat [[Mailbox#Ratman,/kb/gear/icons/Broken_Sagekiller.png,False
bulletproof_vest,Bulletproof Vest,blue,200,20,20,20,"In [[Koryeo]], DMG +2%<br>In [[Koryeo]], INTEL gained +2%",Exchange {{retext|Kimchi Jar|blue,/kb/gear/icons/Bulletproof_Vest.png,False
crimson_haori_jacket,Crimson Haori Jacket,blue,300,10,30,10,"In [[Yamato]], DMG +2%<br>In [[Yamato]], INTEL gained +2%",{{retext|Golden Yamato Armor|green,/kb/gear/icons/Crimson_Haori_Jacket.png,False
crusader_ring,Crusader Ring,blue,100,30,10,30,,• {{retext|Black Pearl|green,/kb/gear/icons/Crusader_Ring.png,False
duckbill_axe,Duckbill Axe,blue,100,30,10,30,"In [[Kemet]], DMG +2%<br>In [[Kemet]], INTEL gained +2%",{{retext|Poisoned Dagger|green,/kb/gear/icons/Duckbill_Axe.png,False
freddy_s_claw,Freddy's Claw,blue,100,50,10,10,"In Snail Arena, DMG +3%. In Snail Arena, Round 1 DMG +2%",{{retext|Jack's glove|green,/kb/gear/icons/Freddy_s_Claw.png,False
infrared_lens,Infrared Lens,blue,200,20,20,20,RUSH DMG +120,[[Vending Machine]],/kb/gear/icons/Infrared_Lens.png,False
jason_s_mask,Jason's Mask,blue,100,50,10,10,"In Snail Arena, DMG +3%. In Snail Arena, Round 1 DMG +2%",Dragon Wish Reward<br>[[Altar#Discount_Dragon,/kb/gear/icons/Jason_s_Mask.png,False
kukri,Kukri,blue,100,30,10,30,"In [[Bharata]], DMG +2%<br>In [[Bharata]], INTEL gained +2%",{{retext|Pata|green,/kb/gear/icons/Kukri.png,False
lotus_platform_iii,Lotus Platform III,blue,300,10,10,30,"In Angel Form, Regen 320 HP each round",{{retext|Lotus Platform|green,/kb/gear/icons/Lotus_Platform.png,False
macedonian_spear,Macedonian Spear,blue,100,30,10,30,"In [[Hellas]], INTEL gained +2%<br>","In [[Hellas]], DMG +2%<br>Every Costume Stat +2%",/kb/gear/icons/Macedonian_Spear.png,False
mahatma_s_robe,Mahatma's Robe,blue,200,20,20,20,"In [[Bharata]], DMG +2%<br>In [[Bharata]], INTEL gained +2%",Exchange {{retext|Rosary|blue,/kb/gear/icons/Mahatma_s_Robe.png,False
multifunction_goggles,Multifunction Goggles,blue,200,20,20,20,RUSH DMG +120,{{retext|Crystal Lens|green,/kb/gear/icons/Multifunction_Goggles.png,False
pasgt_helmet,PASGT Helmet,blue,200,20,20,20,"In [[Murika]], DMG +2%<br>In [[Murika]], INTEL gained +2%",Exchange {{retext|Bullet|blue,/kb/gear/icons/PASGT_Helmet.png,False
rainbow_tassel,Rainbow Tassel,blue,200,20,20,20,"In [[Cathay]], DMG +2%<br>In [[Cathay]], INTEL gained +2%",Exchange {{retext|Mahjong|blue,/kb/gear/icons/Rainbow_Tassel.png,False
ruby_brooch,Ruby Brooch,blue,100,30,10,30,,• [[Fissure,/kb/gear/icons/Ruby_Brooch.png,False
sapphire_brooch,Sapphire Brooch,blue,300,10,30,10,,• [[Fissure,/kb/gear/icons/Sapphire_Brooch.png,False
servant_spirit_pendant,Servant Spirit Pendant,blue,200,20,20,20,"In [[Yamato]], DMG +2%<br>In [[Yamato]], INTEL gained +2%",Exchange {{retext|Koban|blue,/kb/gear/icons/Servant_Spirit_Pendant.png,False
shamshir,Shamshir,blue,300,10,30,10,"In [[Parsia]], DMG +2%<br>In [[Parsia]], INTEL +2%",{{RewardIconWithText|Pesh-Kabz|green,/kb/gear/icons/Shamshir.png,False
spartan_shield,Spartan Shield,blue,200,20,20,20,"In [[Hellas]], INTEL gained +2%<br>","In [[Hellas]], DMG +2%<br>Every Costume Stat +2%",/kb/gear/icons/Spartan_Shield.png,False
springfield_rifle,Springfield Rifle,blue,100,30,10,30,"In [[Murika]], DMG +2%<br>In [[Murika]], INTEL gained +2%",{{retext|Colt Revolver|green,/kb/gear/icons/Springfield_Rifle.png,False
sword_cane,Sword Cane,blue,100,30,10,30,"in [[Britland]]In [[Britland]], DMG +2%<br>In [[Britland]], INTEL gained +2%<br>In [[Britland]], fleet cannon DMG +2%",{{retext|Lee Enfield Rifle|green,/kb/gear/icons/Sword_Cane.png,False
tactical_helmet,Tactical Helmet,blue,200,20,20,20,"In [[Kemet]], DMG +2%<br>In [[Kemet]], INTEL gained +2%",Exchange {{retext|Ankh|blue,/kb/gear/icons/Tactical_Helmet.png,False
time_blade,Time Blade,blue,200,20,20,20,In the [[Time Rift,"Rift]], DMG +2%<br>In the [[Time Rift",/kb/gear/icons/Time_Blade.png,False
time_wheel,Time Wheel,blue,100,30,10,30,In the [[Time Rift,"Rift]], DMG +2%<br>In the [[Time Rift",/kb/gear/icons/Time_Wheel.png,False
tuxedo,Tuxedo,blue,200,20,20,20,"In [[Britland]], DMG +2%<br>In [[Britland]], INTEL gained +2%<br>In [[Britland]], fleet cannon DMG +2%",Exchange {{retext|Anchor|blue,/kb/gear/icons/Tuxedo.png,False
war_scythes,War Scythes,blue,200,20,20,20,"In [[Parsia]], DMG +2%<br>In [[Parsia]], INTEL +2%",Exchange {{Retext|Parsian Carpet|blue,/kb/gear/icons/War_Scythes.png,False
wizard_ring,Wizard Ring,blue,300,10,30,10,,• {{retext|White Pearl|green,/kb/gear/icons/Wizard_Ring.png,False
7_star_blade,7-Star Blade,purple,200,60,20,60,"In [[Cathay]], DMG +4%<br>In [[Cathay]], INTEL gained +4%",{{retext|Ancient Blade|blue,/kb/gear/icons/7-Star_Blade.png,False
abyss_amulet,Abyss Amulet,purple,200,60,20,60,,• [[Fissure,/kb/gear/icons/Abyss_Amulet.png,False
achilles_shield,Achilles' Shield,purple,600,20,60,20,"In [[Hellas]], INTEL gained +4%<br>In [[Hellas]], DMG +4%<br>Every Costume Stat +4%",Exchange {{retext|Feather|purple,/kb/gear/icons/Achilles__Shield.png,False
antelope_horn_shield,Antelope Horn Shield,purple,400,40,40,40,"In [[Bharata]], DMG +4%<br>In [[Bharata]], INTEL gained +4%",Exchange {{retext|Rosary|purple,/kb/gear/icons/Antelope_Horn_Shield.png,False
arabic_dagger,Arabic Dagger,purple,600,20,60,20,"In [[Kemet]], Snail ATK +60",Reward of [[Kemet]] INTEL,/kb/gear/icons/Arabic_Dagger.png,False
assassin_s_gauntlet,Assassin's Gauntlet,purple,200,60,20,60,"In [[Parsia]], DMG +4%<br>In [[Parsia]], INTEL +4%",Exchange {{retext|Parsian Carpet|purple,/kb/gear/icons/Assassin_s_Token.png,False
blade_muramasa,Blade Muramasa,purple,200,60,20,60,"In [[Yamato]], DMG +4%<br>In [[Yamato]], INTEL gained +4%",Exchange {{retext|Koban|purple,/kb/gear/icons/Blade_Muramasa.png,False
britland_crown,Britland Crown,purple,400,40,40,40,"In [[Britland]], DMG +4%<br>In [[Britland]], INTEL gained +4%<br>In [[Britland]], fleet cannon DMG +4%",Exchange {{retext|Anchor|purple,/kb/gear/icons/Britland_Crown.png,False
caeser_s_laurel,Caeser's Laurel,purple,600,20,60,20,"In [[Hellas]], Snail ATK +60<br>In [[Hellas]], Snail DEF +60",Reward of [[Hellas]] INTEL,/kb/gear/icons/Caeser_s_Laurel.png,False
cayako_s_charm,Cayako's Charm,purple,200,10,20,20,"In Snail Arena, DMG +6%<br>In Snail Arena, Round 1 DMG +4%",Divine Dragon Wish<br>[[Altar#Discount_Dragon,/kb/gear/icons/Cayako_s_Charm.png,False
dim_godsmiter,Dim Godsmiter,purple,200,100,20,20,Crit DMG +4%<br>Lifesteal Effect +20%,{{retext|Broken Sagekiller|blue,/kb/gear/icons/Dim_Godsmiter.png,False
dim_ironcutter,Dim Ironcutter,purple,200,100,20,20,Crit DMG +4%<br>Lifesteal Effect +20%,Fully defeat [[Mailbox#Ratman,/kb/gear/icons/Dim_Ironcutter.png,False
dim_rope_of_truth,Dim Rope of Truth,purple,200,100,20,20,Crit DMG +4%<br>Lifesteal Effect +20%,Fully defeat [[Mailbox#Ratman,/kb/gear/icons/Dim_Rope_of_Truth.png,False
dim_trident,Dim Trident,purple,200,100,20,20,Crit DMG +4%<br>Lifesteal Effect +20%,Fully defeat [[Mailbox#Ratman,/kb/gear/icons/Dim_Trident.png,False
feline_shield,Feline Shield,purple,400,40,40,40,"In [[Parsia]], ATK +60<br>In [[Parsia]], DEF +60",Reward of [[Parsia]] INTEL,/kb/gear/icons/Genji_Shield.png,False
gas_mask,Gas Mask,purple,400,40,40,40,"In [[Koryeo]], DMG +4%<br>In [[Koryeo]], INTEL gained +4%",Obtained from Home Chest,/kb/gear/icons/Gas_Mask.png,False
genji_gloves,Genji Gloves,purple,200,60,20,60,"In [[Yamato]], Snail ATK +48","Reward of [[Yamato]] INTEL ""Genji II""",/kb/gear/icons/Genji_Gloves.png,False
genji_helmet,Genji Helmet,purple,600,20,60,20,"In [[Yamato]], Snail DEF +48","Reward of [[Yamato]] INTEL ""Genji I""",/kb/gear/icons/Genji_Helmet.png,False
genji_shield,Genji Shield,purple,400,40,40,40,"In [[Yamato]], Snail ATK +48<br>In [[Yamato]], Snail DEF +48","Reward of [[Yamato]] INTEL ""Genji III""",/kb/gear/icons/Genji_Shield.png,False
golden_assault_rifle,Golden Assault Rifle,purple,200,60,20,60,"In [[Koryeo]], DMG +4%<br>In [[Koryeo]], INTEL gained +4%",{{retext|Bulletproof Vest|blue,/kb/gear/icons/Golden_Assault_Rifle.png,False
golden_bronze_dagger,Golden Bronze Dagger,purple,600,20,60,20,"In [[Kemet]], Snail ATK +60<br>Snail DEF +60",Reward of [[Kemet]] INTEL,/kb/gear/icons/Golden_Bronze_Dagger.png,False
guardian_s_longsword,Guardian's Longsword,purple,200,60,20,60,"In [[Kemet]], DMG +4%<br>In [[Kemet]], INTEL gained +4%",{{retext|Ax|blue,/kb/gear/icons/Guardian_s_Longsword.png,False
heaven_amulet,Heaven Amulet,purple,600,20,60,20,,• [[Fissure,/kb/gear/icons/Heaven_Amulet.png,False
hector_s_spear,Hector's Spear,purple,200,60,20,60,"In [[Hellas]], INTEL gained +4%<br>In [[Hellas]], DMG +4%<br>Every Costume Stat +4%",{{retext|Macedonian Spear|blue,/kb/gear/icons/Hector_s_Spear.png,False
heraclius_silver_staff,Heraclius' Silver Staff,purple,600,20,60,20,"In [[Hellas]], Snail ATK +60",Reward of [[Hellas]] INTEL,/kb/gear/icons/Heraclius__Silver_Staff.png,False
holographic_lens,Holographic Lens,purple,200,20,20,20,RUSH DMG +120,[[Vending Machine]] Purchase,/kb/gear/icons/Holographic_Lens.png,False
holographic_tactical_glasses,Holographic Tactical Glasses,purple,600,20,60,20,"In [[Murika]], Snail ATK +48",Reward of [[Murika]] INTEL,/kb/gear/icons/Holographic_Tactical_Glasses.png,False
icy_bracelet,Icy Bracelet,purple,600,20,60,20,,• {{retext|Wizard Ring|blue,/kb/gear/icons/Icy_Bracelet.png,False
justinian_s_robe,Justinian's Robe,purple,600,20,60,20,"In [[Hellas]], Snail DEF +60",Reward of [[Hellas]] INTEL,/kb/gear/icons/Justinian_s_Robe.png,False
long_range_scope,Long Range Scope,purple,600,20,60,20,"In [[Murika]], DMG +4%<br>In [[Murika]], INTEL gained +4%",Exchange {{retext|Bullet|purple,/kb/gear/icons/Long_Range_Scope.png,False
lotus_platform_vi,Lotus Platform VI,purple,600,20,20,60,"In Angel Form, Regen 640 HP each round",{{retext|Lotus Platform III|blue,/kb/gear/icons/Lotus_Platform.png,False
m4_carbine,M4 Carbine,purple,200,60,20,60,"In [[Murika]], DMG +4%<br>In [[Murika]], INTEL gained +4%",{{retext|Springfield Rifle|blue,/kb/gear/icons/M4_Carbine.png,False
mechanical_exoskeleton,Mechanical Exoskeleton,purple,400,40,40,40,"In [[Murika]], Snail ATK +48<br>In [[Murika]], Snail DEF +48",Reward of [[Murika]] INTEL,/kb/gear/icons/Mechanical_Exoskeleton.png,False
mughal_scimitar,Mughal Scimitar,purple,200,60,20,60,"In [[Bharata]], DMG +4%<br>In [[Bharata]], INTEL gained +4%",{{retext|Kukri|blue,/kb/gear/icons/Mughal_Scimitar.png,False
parsian_composite_bow,Parsian Composite Bow,purple,200,60,20,60,"In [[Parsia]], ATK +60",Reward of [[Parsia]] INTEL,/kb/gear/icons/Parsian_Kite_Shield.png,False
pharaoh_s_scepter,Pharaoh's Scepter,purple,600,20,60,20,"In [[Kemet]], Snail DEF +60",Reward of [[Kemet]] INTEL,/kb/gear/icons/Pharaoh_s_Scepter.png,False
powered_glove,Powered Glove,purple,200,60,20,60,"In [[Murika]], Snail DEF +48",Reward of [[Murika]] INTEL,/kb/gear/icons/Powered_Glove.png,False
priestly_robe,Priestly Robe,purple,400,40,40,40,"In [[Kemet]], DMG +4%<br>In [[Kemet]], INTEL gained +4%",Exchange {{retext|Ankh|purple,/kb/gear/icons/Priestly_Robe.png,False
royal_banner,Royal Banner,purple,600,20,60,20,"In [[Yamato]], DMG +4%<br>In [[Yamato]], INTEL gained +4%",{{retext|Crimson Haori Jacket|blue,/kb/gear/icons/Royal_Banner.png,False
royal_wootz_blade,Royal Wootz Blade,purple,600,20,60,20,"In [[Parsia]], DMG +4%<br>In [[Parsia]], INTEL +4%",{{RewardIconWithText|Shamshir|blue,/kb/gear/icons/Royal_Banner.png,False
scout_goggles,Scout Goggles,purple,200,20,20,20,RUSH DMG +120,{{retext|Multifunction Goggles|blue,/kb/gear/icons/Scout_Goggles.png,False
seething_bracelet,Seething Bracelet,purple,200,60,20,60,,• {{retext|Wizard Ring|blue,/kb/gear/icons/Seething_Bracelet.png,False
shotgun_umbrella,Shotgun Umbrella,purple,200,60,20,60,"In [[Britland]], DMG +4%<br>In [[Britland]], INTEL gained +4%<br>In [[Britland]], fleet cannon DMG +4%",{{retext|Sword Cane|blue,/kb/gear/icons/Shotgun_Umbrella.png,False
silver_lion,Silver Lion,purple,400,40,40,40,"In [[Cathay]], DMG +4%<br>In [[Cathay]], INTEL gained +4%",Exchange {{retext|Mahjong|purple,/kb/gear/icons/Silver_Lion.png,False
spacetime_echo,Spacetime Echo,purple,200,60,20,60,In the [[Time Rift,"Rift]], DMG +4%<br>In the [[Time Rift",/kb/gear/icons/Spacetime_Echo.png,False
sun_mirror_armor,Sun Mirror Armor,purple,600,20,60,20,"In [[Parsia]], DEF +60",Reward of [[Parsia]] INTEL,/kb/gear/icons/Indv._Power_Armor.png,False
texan_chainsaw,Texan Chainsaw,purple,200,10,20,20,"In Snail Arena, DMG +6%<br>In Snail Arena, Round 1 DMG +4%",{{retext|Freddy's Claw|blue,/kb/gear/icons/Texan_Chainsaw.png,False
time_flute,Time Flute,purple,200,20,20,20,In the [[Time Rift,"Rift]], Snail ATK +60<br>In the [[Time Rift",/kb/gear/icons/Time_Flute.png,False
abyss_wings,Abyss Wings,orange,400,120,40,120,,• {{retext|Seething Bracelet|purple,/kb/gear/icons/Abyss_Wings.png,False
alloy_shield,Alloy Shield,orange,400,40,20,40,Each round: DEF +64,Divine Neutral 0.2%,/kb/gear/icons/Alloy_Shield.png,False
anti_strength_saber,Anti-Strength Saber,orange,400,200,40,40,"In Domain Duels (1v1), DMG +12%.<br>In Domain Duels (1v1), DMG +8% for Round 1",Reward of defeating Death Satellite,/kb/gear/icons/Anti-Strength_Saber.png,False
arrow_of_arash,Arrow of Arash,orange,800,80,80,80,"In [[Parsia]], ATK +120<br>In [[Parsia]], DEF +120",{{RewardIconWithText|Parsian Composite Bow|purple,/kb/gear/icons/Ring_of_Paralysis.png,False
ashoka_s_sword,Ashoka's Sword,orange,400,120,40,120,"In [[Bharata]], INTEL gained +8%<br>In [[Bharata]], DMG +8%",{{retext|Mughal Scimitar|purple,/kb/gear/icons/Ashoka_s_Sword.png,False
azazel_s_curse,Azazel's Curse,orange,400,120,120,40,In Demon: Crit Rate +8%,Lottery (1.56%),/kb/gear/icons/Azazel_s_Curse.png,False
b_tadpole_sword,B-Tadpole Sword,orange,400,200,40,40,HIT +8%<br>Ignore All RES +24,Home Value Pack lv50 pond,/kb/gear/icons/B-Tadpole_Sword.png,False
battle_detector,Battle Detector,orange,800,80,80,80,RUSH DMG +480,{{retext|Scout Goggles|purple,/kb/gear/icons/Battle_Detector.png,False
blade_murasame,Blade Murasame,orange,400,120,40,120,"In [[Yamato]], DMG +8%<br>In [[Yamato]], INTEL gained +8%",{{retext|Blade Muramasa|purple,/kb/gear/icons/Blade_Murasame.png,False
blasphemy_eye,Blasphemy Eye,orange,800,80,80,80,,"Random Events, Sunday Stars 59.99$, and other misc Gear Bags",/kb/gear/icons/Blasphemy_Eye.png,False
