id,name,tier_color,slot,hp,atk,def,rush,effect,origin,icon_filename
rainbow_tassel,Rainbow Tassel,blue,,200,20,20,20,"In [[Cathay]], DMG +2%<br>In [[Cathay]], INTEL gained +2%",Exchange {{retext|Mahjong|blue,
ruby_brooch,Ruby Brooch,blue,,100,30,10,30,,• [[Fissure,
sapphire_brooch,Sapphire Brooch,blue,,300,10,30,10,,• [[Fissure,
servant_spirit_pendant,Servant Spirit Pendant,blue,,200,20,20,20,"In [[Yamato]], DMG +2%<br>In [[Yamato]], INTEL gained +2%",Exchange {{retext|Koban|blue,
shamshir,Shamshir,blue,,300,10,30,10,"In [[Parsia]], DMG +2%<br>In [[Parsia]], INTEL +2%",{{RewardIconWithText|Pesh-Kabz|green,
spartan_shield,Spartan Shield,blue,,200,20,20,20,"In [[Hellas]], INTEL gained +2%<br>","In [[Hellas]], DMG +2%<br>Every Costume Stat +2%",
springfield_rifle,Springfield Rifle,blue,,100,30,10,30,"In [[Murika]], DMG +2%<br>In [[Murika]], INTEL gained +2%",{{retext|Colt Revolver|green,
sword_cane,Sword Cane,blue,,100,30,10,30,"in [[Britland]]In [[Britland]], DMG +2%<br>In [[Britland]], INTEL gained +2%<br>In [[Britland]], fleet cannon DMG +2%",{{retext|Lee Enfield Rifle|green,
tactical_helmet,Tactical Helmet,blue,,200,20,20,20,"In [[Kemet]], DMG +2%<br>In [[Kemet]], INTEL gained +2%",Exchange {{retext|Ankh|blue,
time_blade,Time Blade,blue,,200,20,20,20,In the [[Time Rift,"Rift]], DMG +2%<br>In the [[Time Rift",
time_wheel,Time Wheel,blue,,100,30,10,30,In the [[Time Rift,"Rift]], DMG +2%<br>In the [[Time Rift",
tuxedo,Tuxedo,blue,,200,20,20,20,"In [[Britland]], DMG +2%<br>In [[Britland]], INTEL gained +2%<br>In [[Britland]], fleet cannon DMG +2%",Exchange {{retext|Anchor|blue,
war_scythes,War Scythes,blue,,200,20,20,20,"In [[Parsia]], DMG +2%<br>In [[Parsia]], INTEL +2%",Exchange {{Retext|Parsian Carpet|blue,
wizard_ring,Wizard Ring,blue,,300,10,30,10,,• {{retext|White Pearl|green,
7_star_blade,7-Star Blade,purple,,200,60,20,60,"In [[Cathay]], DMG +4%<br>In [[Cathay]], INTEL gained +4%",{{retext|Ancient Blade|blue,
abyss_amulet,Abyss Amulet,purple,,200,60,20,60,,• [[Fissure,
achilles_shield,Achilles' Shield,purple,,600,20,60,20,"In [[Hellas]], INTEL gained +4%<br>In [[Hellas]], DMG +4%<br>Every Costume Stat +4%",Exchange {{retext|Feather|purple,
antelope_horn_shield,Antelope Horn Shield,purple,,400,40,40,40,"In [[Bharata]], DMG +4%<br>In [[Bharata]], INTEL gained +4%",Exchange {{retext|Rosary|purple,
arabic_dagger,Arabic Dagger,purple,,600,20,60,20,"In [[Kemet]], Snail ATK +60",Reward of [[Kemet]] INTEL,
assassin_s_gauntlet,Assassin's Gauntlet,purple,,200,60,20,60,"In [[Parsia]], DMG +4%<br>In [[Parsia]], INTEL +4%",Exchange {{retext|Parsian Carpet|purple,
blade_muramasa,Blade Muramasa,purple,,200,60,20,60,"In [[Yamato]], DMG +4%<br>In [[Yamato]], INTEL gained +4%",Exchange {{retext|Koban|purple,
britland_crown,Britland Crown,purple,,400,40,40,40,"In [[Britland]], DMG +4%<br>In [[Britland]], INTEL gained +4%<br>In [[Britland]], fleet cannon DMG +4%",Exchange {{retext|Anchor|purple,
caeser_s_laurel,Caeser's Laurel,purple,,600,20,60,20,"In [[Hellas]], Snail ATK +60<br>In [[Hellas]], Snail DEF +60",Reward of [[Hellas]] INTEL,
cayako_s_charm,Cayako's Charm,purple,,200,10,20,20,"In Snail Arena, DMG +6%<br>In Snail Arena, Round 1 DMG +4%",Divine Dragon Wish<br>[[Altar#Discount_Dragon,
dim_godsmiter,Dim Godsmiter,purple,,200,100,20,20,Crit DMG +4%<br>Lifesteal Effect +20%,{{retext|Broken Sagekiller|blue,
dim_ironcutter,Dim Ironcutter,purple,,200,100,20,20,Crit DMG +4%<br>Lifesteal Effect +20%,Fully defeat [[Mailbox#Ratman,
dim_rope_of_truth,Dim Rope of Truth,purple,,200,100,20,20,Crit DMG +4%<br>Lifesteal Effect +20%,Fully defeat [[Mailbox#Ratman,
dim_trident,Dim Trident,purple,,200,100,20,20,Crit DMG +4%<br>Lifesteal Effect +20%,Fully defeat [[Mailbox#Ratman,
feline_shield,Feline Shield,purple,,400,40,40,40,"In [[Parsia]], ATK +60<br>In [[Parsia]], DEF +60",Reward of [[Parsia]] INTEL,
gas_mask,Gas Mask,purple,,400,40,40,40,"In [[Koryeo]], DMG +4%<br>In [[Koryeo]], INTEL gained +4%",Obtained from Home Chest,
genji_gloves,Genji Gloves,purple,,200,60,20,60,"In [[Yamato]], Snail ATK +48","Reward of [[Yamato]] INTEL ""Genji II""",
genji_helmet,Genji Helmet,purple,,600,20,60,20,"In [[Yamato]], Snail DEF +48","Reward of [[Yamato]] INTEL ""Genji I""",
genji_shield,Genji Shield,purple,,400,40,40,40,"In [[Yamato]], Snail ATK +48<br>In [[Yamato]], Snail DEF +48","Reward of [[Yamato]] INTEL ""Genji III""",
golden_assault_rifle,Golden Assault Rifle,purple,,200,60,20,60,"In [[Koryeo]], DMG +4%<br>In [[Koryeo]], INTEL gained +4%",{{retext|Bulletproof Vest|blue,
golden_bronze_dagger,Golden Bronze Dagger,purple,,600,20,60,20,"In [[Kemet]], Snail ATK +60<br>Snail DEF +60",Reward of [[Kemet]] INTEL,
guardian_s_longsword,Guardian's Longsword,purple,,200,60,20,60,"In [[Kemet]], DMG +4%<br>In [[Kemet]], INTEL gained +4%",{{retext|Ax|blue,
heaven_amulet,Heaven Amulet,purple,,600,20,60,20,,• [[Fissure,
hector_s_spear,Hector's Spear,purple,,200,60,20,60,"In [[Hellas]], INTEL gained +4%<br>In [[Hellas]], DMG +4%<br>Every Costume Stat +4%",{{retext|Macedonian Spear|blue,
heraclius_silver_staff,Heraclius' Silver Staff,purple,,600,20,60,20,"In [[Hellas]], Snail ATK +60",Reward of [[Hellas]] INTEL,
holographic_lens,Holographic Lens,purple,,200,20,20,20,RUSH DMG +120,[[Vending Machine]] Purchase,
holographic_tactical_glasses,Holographic Tactical Glasses,purple,,600,20,60,20,"In [[Murika]], Snail ATK +48",Reward of [[Murika]] INTEL,
icy_bracelet,Icy Bracelet,purple,,600,20,60,20,,• {{retext|Wizard Ring|blue,
justinian_s_robe,Justinian's Robe,purple,,600,20,60,20,"In [[Hellas]], Snail DEF +60",Reward of [[Hellas]] INTEL,
long_range_scope,Long Range Scope,purple,,600,20,60,20,"In [[Murika]], DMG +4%<br>In [[Murika]], INTEL gained +4%",Exchange {{retext|Bullet|purple,
lotus_platform_vi,Lotus Platform VI,purple,,600,20,20,60,"In Angel Form, Regen 640 HP each round",{{retext|Lotus Platform III|blue,
m4_carbine,M4 Carbine,purple,,200,60,20,60,"In [[Murika]], DMG +4%<br>In [[Murika]], INTEL gained +4%",{{retext|Springfield Rifle|blue,
mechanical_exoskeleton,Mechanical Exoskeleton,purple,,400,40,40,40,"In [[Murika]], Snail ATK +48<br>In [[Murika]], Snail DEF +48",Reward of [[Murika]] INTEL,
mughal_scimitar,Mughal Scimitar,purple,,200,60,20,60,"In [[Bharata]], DMG +4%<br>In [[Bharata]], INTEL gained +4%",{{retext|Kukri|blue,
parsian_composite_bow,Parsian Composite Bow,purple,,200,60,20,60,"In [[Parsia]], ATK +60",Reward of [[Parsia]] INTEL,
pharaoh_s_scepter,Pharaoh's Scepter,purple,,600,20,60,20,"In [[Kemet]], Snail DEF +60",Reward of [[Kemet]] INTEL,
powered_glove,Powered Glove,purple,,200,60,20,60,"In [[Murika]], Snail DEF +48",Reward of [[Murika]] INTEL,
priestly_robe,Priestly Robe,purple,,400,40,40,40,"In [[Kemet]], DMG +4%<br>In [[Kemet]], INTEL gained +4%",Exchange {{retext|Ankh|purple,
royal_banner,Royal Banner,purple,,600,20,60,20,"In [[Yamato]], DMG +4%<br>In [[Yamato]], INTEL gained +4%",{{retext|Crimson Haori Jacket|blue,
royal_wootz_blade,Royal Wootz Blade,purple,,600,20,60,20,"In [[Parsia]], DMG +4%<br>In [[Parsia]], INTEL +4%",{{RewardIconWithText|Shamshir|blue,
scout_goggles,Scout Goggles,purple,,200,20,20,20,RUSH DMG +120,{{retext|Multifunction Goggles|blue,
seething_bracelet,Seething Bracelet,purple,,200,60,20,60,,• {{retext|Wizard Ring|blue,
shotgun_umbrella,Shotgun Umbrella,purple,,200,60,20,60,"In [[Britland]], DMG +4%<br>In [[Britland]], INTEL gained +4%<br>In [[Britland]], fleet cannon DMG +4%",{{retext|Sword Cane|blue,
silver_lion,Silver Lion,purple,,400,40,40,40,"In [[Cathay]], DMG +4%<br>In [[Cathay]], INTEL gained +4%",Exchange {{retext|Mahjong|purple,
spacetime_echo,Spacetime Echo,purple,,200,60,20,60,In the [[Time Rift,"Rift]], DMG +4%<br>In the [[Time Rift",
sun_mirror_armor,Sun Mirror Armor,purple,,600,20,60,20,"In [[Parsia]], DEF +60",Reward of [[Parsia]] INTEL,
texan_chainsaw,Texan Chainsaw,purple,,200,10,20,20,"In Snail Arena, DMG +6%<br>In Snail Arena, Round 1 DMG +4%",{{retext|Freddy's Claw|blue,
time_flute,Time Flute,purple,,200,20,20,20,In the [[Time Rift,"Rift]], Snail ATK +60<br>In the [[Time Rift",
abyss_wings,Abyss Wings,orange,,400,120,40,120,,• {{retext|Seething Bracelet|purple,
alloy_shield,Alloy Shield,orange,,400,40,20,40,Each round: DEF +64,Divine Neutral 0.2%,
anti_strength_saber,Anti-Strength Saber,orange,,400,200,40,40,"In Domain Duels (1v1), DMG +12%.<br>In Domain Duels (1v1), DMG +8% for Round 1",Reward of defeating Death Satellite,
arrow_of_arash,Arrow of Arash,orange,,800,80,80,80,"In [[Parsia]], ATK +120<br>In [[Parsia]], DEF +120",{{RewardIconWithText|Parsian Composite Bow|purple,
ashoka_s_sword,Ashoka's Sword,orange,,400,120,40,120,"In [[Bharata]], INTEL gained +8%<br>In [[Bharata]], DMG +8%",{{retext|Mughal Scimitar|purple,
azazel_s_curse,Azazel's Curse,orange,,400,120,120,40,In Demon: Crit Rate +8%,Lottery (1.56%),
b_tadpole_sword,B-Tadpole Sword,orange,,400,200,40,40,HIT +8%<br>Ignore All RES +24,Home Value Pack lv50 pond,
battle_detector,Battle Detector,orange,,800,80,80,80,RUSH DMG +480,{{retext|Scout Goggles|purple,
blade_murasame,Blade Murasame,orange,,400,120,40,120,"In [[Yamato]], DMG +8%<br>In [[Yamato]], INTEL gained +8%",{{retext|Blade Muramasa|purple,
blasphemy_eye,Blasphemy Eye,orange,,800,80,80,80,,"Random Events, Sunday Stars 59.99$, and other misc Gear Bags",
broken_caladbolg,Broken Caladbolg,orange,,400,120,40,120,"In Dragon Form, Ignore Water RES +120<br>In Dragon Form, Ignore Wind RES +120",Defeat [[Altar Fights#Demon Lords,
broken_dragon_horn,Broken Dragon Horn,orange,,400,120,40,120,"In Dragon Form, Ignore Fire RES +120<br>In Dragon Form, Ignore Earth RES +120",Defeat [[Altar Fights#Demon Lords,
butcher_s_hook,Butcher's Hook,orange,,400,200,40,40,"In Snail Arena, DMG +12%<br>In Snail Arena, Round 1 DMG +8%",{{retext|Texan Chainsaw|purple,
chief,Chief,orange,,400,40,200,40,Crit DMG reduction +8%,Divine Order Chest 0.2%,
conqueror_spear,Conqueror Spear,orange,,800,80,80,80,"In [[Cathay]], Snail ATK +96<br>In [[Cathay]], Snail RUSH +96",Reward for defeating [[Mailbox#Loyal Retainers,
couple_swords,Couple Swords,orange,,400,120,40,120,"In [[Cathay]], DMG +8%<br>In [[Cathay]], INTEL gained +8%",{{retext|7-Star-Blade|purple,
crimson_dragon_claw,Crimson Dragon Claw,orange,,200,60,20,60,In Dragon: Fire DMG +240,Reward upon [[Altar#Divine_Dragon,
crown_of_power,Crown of Power,orange,,400,40,40,40,FTH +80,Divine Chaos 0.4%,
crystal_of_will,Crystal of Will,orange,,800,80,80,80,,• Reward of some [[Fissure]] incidents<br>• Reward of offering Gaia's Tainted Organs at the [[Altar]],
curator_s_helmet,Curator's Helmet,orange,,1200,40,120,40,"Enemies in explorations drop +16 W-tads<br>(Only when you are really lucky!)<br>Tadpoles Gained: 100,000",50k Museum Medals in [[Museum,
damascus_knife,Damascus Knife,orange,,400,120,40,120,"In [[Kemet]], DMG +8%<br>In [[Kemet]], INTEL gained +8%",{{retext|Guardian's Longsword|purple,
death_shroud,Death Shroud,orange,,500,10,10,10,Lifesteal Rate +2%<br>Lifesteal Effect +10%,Dracula victory reward,
demon_god_crystal,Demon God Crystal,orange,,800,80,80,80,,Currently only available from final Lucky Clover Round,
demon_scythe,Demon Scythe,orange,,100,30,30,10,In Demon Form: Demon Cells +2%<br>Soul Chests +2%,Tier 3 Demon Research,
diver,Diver,orange,,300,10,10,30,"In any Realm, 2x Demon God Cell Drops +2%",Divine Neutral Chest (0.8% chance),
dragon_fang_dagger,Dragon Fang Dagger,orange,,100,30,10,30,In Dragon Form: Gain +2% Cells<br>Gain 2% Dragon Chests in explorations,Tier 3 Dragon Research Reward,
drazgul_fang,Drazgul Fang,orange,,400,200,40,200,Poison DMG +240<br>Crit Rate +8%,Gear Value Pack III(100$!!!),
dwarf_mask,Dwarf Mask,orange,,50,5,25,5,"If you spot a weakness, Snail DEF +30",Lottery (0.75%),
electric_hammer,Electric Hammer,orange,,400,40,40,200,Wind DMG +240<br>Ignore Enemey Wind RES +120,Lottery 1.56%,
elegant_gloves,Elegant Gloves,orange,,50,25,5,5,"If you spot a weakness, Snail ATK +30",Divine Order (1.6%),
elven_cape,Elven Cape,orange,,200,20,20,20,Snail ART +40,Divine Order 0.8%,
eternal_empire_staff,Eternal Empire Staff,orange,,800,80,80,80,"In [[Hellas]], Snail ATK +120<br>Snail DEF +120",{{retext|Caeser's Laurel|purple,
eternal_return,Eternal Return,orange,,400,120,40,120,In the [[Time Rift,"Rift]], DMG +8%<br>In the [[Time Rift",
excalibur,Excalibur,orange,,400,200,40,40,ATK +160,Reward of defeating Excalibra<br>[[Altar#Discount_Dragon,
eye_of_horus,Eye of Horus,orange,,800,80,80,80,,• Lottery Machine (1.56% chance)<br>• Gear Chest (1.6% chance)<br>• Divine Chests (1.8% chance),
fire_of_rage,Fire of Rage,orange,,400,120,40,120,"In Dragon Form, Ignore DEF +8%",Defeat [[Altar Fights#Demon Lords,
fossil,Fossil,orange,,400,200,40,40,Earth DMG +240<br>Ignore Enemy Earth RES +120,Divine Chaos 0.2%,
gauss_c14,Gauss C14,orange,,100,10,30,30,In Mecha Form: Mecha Cells +2%<br>Tool Chests +2% in explorations,Tier 3 Mecha Research,
gear_ring,Gear Ring,orange,,400,40,40,200,"When you enter a new area, gain +80 INTEL",Divine Order Chest (0.2% chance),
genji_armor,Genji Armor,orange,,800,80,80,80,"In [[Yamato]], Snail ATK +96<br>In [[Yamato]], Snail DEF +96",{{retext|Genji Gloves|purple,
gold_outfit,Gold Outfit,orange,,1200,40,120,40,ELMT DMG REDUC +4.8%,Defeat Agamemnon Mask Civilization Mirage,
hammer_of_frenzy,Hammer of Frenzy,orange,,200,20,20,10,"Each round, Snail RUSH +16<br>Snail ATK +16",Divine Neutral (0.4%),
heaven_wings,Heaven Wings,orange,,1200,40,120,40,,•{{retext|Seething Bracelet|purple,
horse_helmet,Horse Helmet,orange,,800,80,80,80,"In [[Kemet]], Snail ATK +120<br>Snail RUSH +120",{{retext|Arabic Dagger|purple,
imitation_vision,Imitation Vision,orange,,200,100,20,20,"In Gene Simulations, DMG +6%<br>Round 1 DMG +4%",Gene Training Value Pack II ($14.99),
indra_s_crown,Indra's Crown,orange,,800,80,80,80,"In [[Bharata]], Snail ATK +120<br>Snail DEF +120",Exchange {{retext|Rosary|orange,
indv_high_explosive_rifle,Indv. High-explosive Rifle,orange,,400,120,40,120,"In [[Murika]], DMG +8%<br>In [[Murika]], INTEL gained +8%",{{retext|M4 Carbine|purple,
indv_power_armor,Indv. Power Armor,orange,,800,80,80,80,"In [[Murika]], Snail ATK +96<br>In [[Murika]], Snail DEF +96",{{retext|Holograhic Tactical Glasses|purple,
iron_track,Iron Track,orange,,100,10,10,50,Travel SPD +1.6%,Divine Order Chest (0.8% chance),
jade_saber,Jade Saber,orange,,400,120,40,120,"In [[Parsia]], DMG +8%<br>In [[Parsia]], INTEL +8%",{{RewardIconWithText|Royal Wootz Blade|purple,
jung_geun_s_gun,Jung-geun's Gun,orange,,400,120,40,120,"In [[Koryeo]], DMG +8%<br>In [[Koryeo]], INTEL gained +8%",{{retext|Gas Mask|purple,
leather_chest_armor,Leather Chest Armor,orange,,50,15,5,15,In Mutant: Crit DMG +2%,Divine Chaos (1.6%),
leviathan_gloves,Leviathan Gloves,orange,,200,100,20,20,Water DMG +120<br>Ignore Enemy Water RES +60,Divine Chaos (0.4%),
lifebuoy,Lifebuoy,orange,,150,5,15,5,Water RES +30,Lottery 0.75%,
lion_s_crown,Lion's Crown,orange,,400,120,40,120,"In [[Britland]], DMG +8%<br>In [[Britland]], INTEL gained +8%<br>In [[Britland]], fleet cannon DMG +8%",{{retext|Shotgun Umbrella|purple,
lizard_belt,Lizard Belt,orange,,250,5,5,5,"If you spot a weakness, Snail HP +300",Divine Chaos (1.6%),
lotus_platform_ix,Lotus Platform IX,orange,,1200,40,40,120,"In Angel Form, Regen 1,280 HP each round",{{retext|Lotus Platform VI|purple,
